CandidateId,Age,English,Experience,Projects,Education,Python,Docker,Redis,RabbitMQ,AI,Hired
1,35,808,2,6,1,82,0,1,0,0,0
2,42,611,14,14,0,62,0,0,0,0,0
3,26,690,2,2,1,74,0,0,0,0,0
4,44,680,11,11,1,59,0,0,0,0,0
5,22,631,1,5,0,87,0,0,1,1,0
6,29,785,9,8,1,84,1,0,0,1,0
7,23,715,4,4,1,80,0,0,0,0,0
8,29,897,1,3,1,83,0,0,0,1,0
9,35,709,2,2,1,80,0,1,1,0,0
10,28,648,7,7,1,90,0,0,0,0,0
11,33,724,11,15,0,74,0,0,1,0,0
12,37,600,2,2,0,83,0,0,0,1,0
13,29,568,1,5,1,43,0,1,1,0,0
14,38,650,12,15,1,71,0,0,0,0,0
15,28,611,2,6,1,77,0,0,0,0,0
16,34,553,2,2,1,78,0,0,1,0,0
17,42,794,2,2,0,61,0,1,0,0,0
18,45,599,4,5,1,69,0,0,0,0,0
19,23,627,4,2,1,83,0,0,1,0,0
20,40,564,3,5,0,69,0,0,0,0,0
21,25,832,2,4,1,88,0,0,0,1,0
22,38,675,4,6,1,77,0,1,0,0,0
23,42,743,3,3,0,84,1,1,0,0,0
24,40,950,14,15,1,69,0,0,1,0,0
25,28,626,2,6,1,100,0,0,0,0,0
26,32,729,14,13,1,62,0,0,0,0,0
27,35,684,2,5,1,52,0,1,0,0,0
28,43,855,3,6,0,79,1,0,1,0,0
29,45,721,11,12,1,80,0,0,0,0,0
30,41,857,4,4,1,87,0,0,0,0,0
31,37,646,14,11,0,63,0,0,0,0,0
32,30,906,4,4,0,78,0,1,0,0,0
33,33,634,4,6,1,85,0,0,0,1,0
34,38,446,4,4,1,84,0,0,0,1,0
35,23,626,2,5,1,66,0,0,1,0,0
36,33,572,14,14,1,71,0,1,0,0,0
37,22,730,1,5,1,90,0,1,0,0,0
38,32,626,12,11,0,68,1,1,0,0,0
39,24,651,2,5,1,74,1,0,0,0,0
40,39,676,11,13,1,71,0,0,0,0,0
41,30,599,2,4,1,78,1,0,0,0,0
42,37,720,14,10,1,79,0,0,1,0,0
