Age,English,Experience,Projects,Education,Python,Docker,Redis,RabbitMQ,AI,Hired
29,836,2,5,1,69,0,0,0,0,0
25,694,10,11,1,86,1,0,0,1,1
36,827,14,15,1,89,0,1,0,1,1
39,776,14,10,1,66,0,0,1,0,0
45,677,13,13,1,73,0,0,0,0,0
38,703,2,3,1,73,0,0,0,0,0
29,661,3,3,1,73,0,0,1,0,0
26,679,8,10,1,72,0,1,0,0,0
38,593,13,13,0,62,0,0,0,0,0
43,635,2,4,0,61,0,0,1,0,0
35,893,4,4,0,74,0,1,0,0,0
40,758,12,15,1,66,0,0,0,0,0
38,797,14,11,1,74,0,0,1,0,0
32,717,2,4,1,97,0,0,0,0,0
31,887,12,13,1,86,0,0,0,0,1
23,724,3,4,1,86,0,0,0,1,0
31,670,13,14,1,83,0,0,0,1,1
25,678,1,6,1,56,1,0,0,0,0
31,808,3,2,1,84,0,0,0,0,0
36,722,2,4,0,68,0,0,1,0,0
26,666,10,12,1,67,0,0,1,0,0
38,749,4,5,1,73,0,0,0,0,0
24,502,1,4,1,78,1,0,1,0,0
44,598,4,2,1,72,1,0,0,0,0
45,763,2,2,1,80,0,0,0,0,0
38,767,13,11,1,61,1,0,0,0,0
31,724,2,5,1,67,1,1,1,0,0
23,835,1,3,1,66,1,0,1,0,0
24,744,2,2,1,62,1,0,0,0,0
44,629,3,2,1,70,0,0,0,0,0
32,807,4,5,1,85,0,0,0,0,0
34,698,4,3,1,87,0,0,0,1,0
31,503,2,3,0,85,1,0,0,0,0
44,535,3,3,1,55,0,0,0,0,0
39,820,2,3,1,74,0,0,0,0,0
30,577,2,6,1,74,0,0,0,0,0
39,620,12,15,1,100,0,0,0,0,1
25,550,2,2,1,90,0,1,0,1,0
32,849,3,2,1,69,0,0,0,0,0
42,771,11,14,1,85,1,0,0,0,1
36,495,3,4,1,64,0,0,0,0,0
28,742,10,11,1,80,0,1,1,0,0
36,652,13,15,1,80,1,0,0,0,0
29,441,7,12,1,68,0,0,1,0,0
27,687,9,9,0,79,0,0,1,0,0
26,776,3,6,1,74,0,0,0,0,0
39,832,4,4,1,80,0,0,1,0,0
41,580,13,14,1,84,0,0,1,0,0
41,789,4,3,1,78,0,0,0,0,0
27,785,2,3,1,73,0,0,1,0,0
26,724,6,9,1,83,1,0,0,0,0
42,696,12,14,0,80,0,0,0,0,0
29,665,3,2,0,80,1,0,0,0,0
43,875,13,15,1,80,0,0,0,0,0
44,746,3,2,1,60,0,1,0,0,0
30,708,4,2,1,65,0,0,0,0,0
26,754,6,9,0,65,1,0,1,0,0
37,816,13,10,1,77,0,1,0,0,0
35,632,12,11,1,66,0,1,0,0,0
23,805,1,3,1,60,0,0,0,0,0
39,638,11,10,0,84,1,1,0,1,1
23,773,2,3,1,74,1,0,1,0,0
45,579,11,14,0,59,0,0,0,0,0
41,661,11,12,0,54,0,0,1,0,0
28,733,3,6,1,83,0,0,0,0,0
40,672,14,13,1,68,0,0,0,0,0
36,457,13,10,1,72,0,0,0,0,0
42,657,12,11,0,71,0,0,0,0,0
24,677,2,5,1,75,0,1,1,0,0
37,723,4,6,0,66,0,0,0,0,0
25,709,1,2,1,77,0,0,0,0,0
25,710,9,12,1,78,1,1,1,0,0
25,752,10,12,1,75,0,0,0,0,0
25,820,7,11,1,90,0,0,0,0,0
31,574,2,4,1,65,0,0,0,0,0
36,675,3,3,1,79,0,0,1,0,0
32,550,12,14,1,75,0,0,0,0,0
37,589,11,15,1,67,0,1,0,0,0
24,688,4,2,1,72,1,0,1,0,0
27,850,2,2,0,61,1,0,0,0,0
45,738,3,4,1,81,1,0,0,1,0
24,745,1,4,1,71,1,0,0,0,0
42,785,3,2,1,66,0,0,0,0,0
24,614,1,5,1,77,0,1,0,0,0
42,521,4,6,0,75,0,0,0,0,0
42,772,2,5,1,82,0,1,0,1,0
31,737,14,13,1,72,0,0,0,0,0
33,657,3,4,1,89,0,0,0,0,0
22,670,1,5,1,60,1,0,0,0,0
32,650,3,5,1,78,0,0,0,0,0
29,950,2,5,1,100,0,1,0,0,0
34,617,4,4,1,59,0,0,0,0,0
