Age,English,Experience,Projects,Education,Python,Docker,Redis,RabbitMQ,AI,Hired,BackendSkill,ProjectCompletionExperience,InternationalExperience
29,836,2,5,1,69,0,0,0,0,0,34.5,2.5,1672
25,694,10,11,1,86,1,0,0,1,1,43.3,1.1,6940
36,827,14,15,1,89,0,1,0,1,1,44.7,1.0714285714285714,11578
39,776,14,10,1,66,0,0,1,0,0,33.0,0.7142857142857143,10864
45,677,13,13,1,73,0,0,0,0,0,36.5,1.0,8801
38,703,2,3,1,73,0,0,0,0,0,36.5,1.5,1406
29,661,3,3,1,73,0,0,1,0,0,36.5,1.0,1983
26,679,8,10,1,72,0,1,0,0,0,36.2,1.25,5432
38,593,13,13,0,62,0,0,0,0,0,31.0,1.0,7709
43,635,2,4,0,61,0,0,1,0,0,30.5,2.0,1270
35,893,4,4,0,74,0,1,0,0,0,37.2,1.0,3572
40,758,12,15,1,66,0,0,0,0,0,33.0,1.25,9096
38,797,14,11,1,74,0,0,1,0,0,37.0,0.7857142857142857,11158
32,717,2,4,1,97,0,0,0,0,0,48.5,2.0,1434
31,887,12,13,1,86,0,0,0,0,1,43.0,1.0833333333333333,10644
23,724,3,4,1,86,0,0,0,1,0,43.0,1.3333333333333333,2172
31,670,13,14,1,83,0,0,0,1,1,41.5,1.0769230769230769,8710
25,678,1,6,1,56,1,0,0,0,0,28.3,6.0,678
31,808,3,2,1,84,0,0,0,0,0,42.0,0.6666666666666666,2424
36,722,2,4,0,68,0,0,1,0,0,34.0,2.0,1444
26,666,10,12,1,67,0,0,1,0,0,33.5,1.2,6660
38,749,4,5,1,73,0,0,0,0,0,36.5,1.25,2996
24,502,1,4,1,78,1,0,1,0,0,39.3,4.0,502
44,598,4,2,1,72,1,0,0,0,0,36.3,0.5,2392
45,763,2,2,1,80,0,0,0,0,0,40.0,1.0,1526
38,767,13,11,1,61,1,0,0,0,0,30.8,0.8461538461538461,9971
31,724,2,5,1,67,1,1,1,0,0,34.0,2.5,1448
23,835,1,3,1,66,1,0,1,0,0,33.3,3.0,835
24,744,2,2,1,62,1,0,0,0,0,31.3,1.0,1488
44,629,3,2,1,70,0,0,0,0,0,35.0,0.6666666666666666,1887
32,807,4,5,1,85,0,0,0,0,0,42.5,1.25,3228
34,698,4,3,1,87,0,0,0,1,0,43.5,0.75,2792
31,503,2,3,0,85,1,0,0,0,0,42.8,1.5,1006
44,535,3,3,1,55,0,0,0,0,0,27.5,1.0,1605
39,820,2,3,1,74,0,0,0,0,0,37.0,1.5,1640
30,577,2,6,1,74,0,0,0,0,0,37.0,3.0,1154
39,620,12,15,1,100,0,0,0,0,1,50.0,1.25,7440
25,550,2,2,1,90,0,1,0,1,0,45.2,1.0,1100
32,849,3,2,1,69,0,0,0,0,0,34.5,0.6666666666666666,2547
42,771,11,14,1,85,1,0,0,0,1,42.8,1.2727272727272727,8481
36,495,3,4,1,64,0,0,0,0,0,32.0,1.3333333333333333,1485
28,742,10,11,1,80,0,1,1,0,0,40.2,1.1,7420
36,652,13,15,1,80,1,0,0,0,0,40.3,1.1538461538461537,8476
29,441,7,12,1,68,0,0,1,0,0,34.0,1.7142857142857142,3087
27,687,9,9,0,79,0,0,1,0,0,39.5,1.0,6183
26,776,3,6,1,74,0,0,0,0,0,37.0,2.0,2328
39,832,4,4,1,80,0,0,1,0,0,40.0,1.0,3328
41,580,13,14,1,84,0,0,1,0,0,42.0,1.0769230769230769,7540
41,789,4,3,1,78,0,0,0,0,0,39.0,0.75,3156
27,785,2,3,1,73,0,0,1,0,0,36.5,1.5,1570
26,724,6,9,1,83,1,0,0,0,0,41.8,1.5,4344
42,696,12,14,0,80,0,0,0,0,0,40.0,1.1666666666666667,8352
29,665,3,2,0,80,1,0,0,0,0,40.3,0.6666666666666666,1995
43,875,13,15,1,80,0,0,0,0,0,40.0,1.1538461538461537,11375
44,746,3,2,1,60,0,1,0,0,0,30.2,0.6666666666666666,2238
30,708,4,2,1,65,0,0,0,0,0,32.5,0.5,2832
26,754,6,9,0,65,1,0,1,0,0,32.8,1.5,4524
