Age,English,Experience,Projects,Education,Python,Docker,Redis,RabbitMQ,AI
32,815,14,15,0,82,0,1,0,1
38,643,12,14,1,38,1,1,0,0
28,670,1,4,1,99,0,1,1,1
22,817,3,5,0,76,0,0,0,0
35,904,2,2,0,54,1,0,0,0
26,755,10,12,1,77,1,1,0,0
28,781,1,2,0,30,0,0,0,0
24,491,1,6,1,91,0,0,0,0
40,658,4,4,1,95,0,0,0,1
29,833,3,2,1,59,0,0,1,0
29,594,10,10,1,97,0,0,0,1
22,738,3,5,1,58,0,0,0,0
27,911,10,11,1,93,0,0,0,0
24,587,2,6,1,93,1,0,0,0
23,804,2,4,1,100,0,0,1,1
22,587,2,3,0,68,0,1,0,0
28,895,1,2,0,77,0,0,0,0
32,614,11,15,1,33,1,0,0,0
41,508,11,15,1,42,0,0,0,0
37,676,12,13,1,26,0,0,0,0
42,727,12,15,0,99,0,0,0,1
35,643,3,4,0,86,0,0,1,1
30,671,2,2,1,77,0,0,0,0
43,765,11,10,1,57,0,0,0,0
28,800,1,4,0,39,0,1,0,0
25,627,9,11,0,55,0,1,1,0
33,815,13,11,1,60,0,0,0,0
39,785,4,5,1,27,0,1,0,0
24,657,1,6,1,50,1,0,0,0
40,920,14,10,1,52,0,0,0,0
37,719,12,11,1,59,0,0,0,0
38,753,15,13,0,31,0,1,0,0
35,733,14,15,0,27,0,0,0,0
25,717,10,10,1,67,0,0,0,0
40,679,3,2,1,62,0,0,0,0
35,862,11,15,1,55,0,0,0,0
35,764,3,3,1,94,1,1,0,1
29,555,10,11,0,36,0,0,0,0
33,690,15,15,0,58,0,0,0,0
43,735,4,5,1,69,1,1,0,0
25,728,10,15,1,90,0,0,0,1
39,720,2,2,1,76,1,1,0,0
34,668,15,14,1,36,0,0,0,0
42,755,3,3,1,54,0,0,0,0
26,847,1,2,0,62,1,0,0,0
42,764,12,13,0,74,0,0,0,0
43,742,13,12,1,35,0,1,0,0
44,614,3,6,1,25,1,0,0,0
32,616,11,13,0,29,1,1,1,0
45,826,3,2,1,48,1,0,0,0
31,621,2,6,1,30,0,0,0,0
41,555,4,5,0,71,0,0,0,0
45,630,13,12,1,76,0,0,1,0
34,715,13,10,1,65,1,0,1,0
24,572,1,6,1,29,1,0,0,0
35,704,4,2,1,99,0,0,0,0
27,863,9,12,1,33,0,0,0,0
28,562,7,8,1,32,0,0,0,0
45,692,12,10,1,76,0,0,1,0
29,853,2,5,1,99,1,0,0,0
29,658,2,2,1,44,0,0,1,0
40,689,13,10,1,26,0,0,0,0
27,701,2,3,0,37,0,1,0,0
32,795,15,14,0,40,0,0,0,0
42,690,12,10,0,87,0,0,1,0
26,479,8,10,1,57,0,0,0,0
39,594,3,2,1,62,0,0,0,0
32,772,4,3,1,67,0,0,0,0
23,728,3,3,1,58,1,1,0,0
28,725,1,6,1,63,1,0,1,0
36,719,4,5,0,78,1,0,0,0
31,677,13,14,0,57,0,0,0,0
24,695,2,4,1,47,0,0,0,0
34,651,12,12,1,27,0,1,0,0
39,662,2,3,1,81,0,1,0,0
29,645,3,4,0,64,0,0,0,0
39,764,2,5,1,71,0,0,0,0
32,775,3,5,1,34,1,0,0,0
39,792,11,15,1,72,1,0,0,0
42,627,13,13,1,71,0,0,0,0
32,642,15,11,1,94,1,0,0,1
37,766,4,5,1,89,0,0,1,1
37,594,4,2,1,74,0,0,0,0
45,665,3,4,1,32,1,1,0,0
22,831,3,3,1,60,0,0,0,0
43,624,14,12,1,37,1,0,1,0
31,669,11,11,1,62,0,1,0,0
23,834,3,5,1,65,0,1,0,0
30,859,2,5,1,70,0,0,0,0
34,696,3,6,1,99,1,0,0,0
30,704,2,3,1,84,1,1,0,1
32,782,4,6,1,27,0,0,0,0
31,759,4,5,1,43,0,0,0,0
45,709,4,6,0,59,1,0,0,0
28,546,3,3,1,79,0,0,0,0
41,664,3,2,0,80,1,0,0,0
28,645,8,10,1,35,0,0,0,0
43,844,13,13,1,96,0,0,1,0
38,772,2,2,1,85,1,1,0,0
22,690,4,5,1,71,1,1,1,0
